Brand,Model,RAM,Storage,Rating (out of 5),Amount Sold,Price,Price before Discount,Discount
Samsung,Galaxy M35 5G,8GB,128GB,4.1,4000,18499,25999,0.29
Samsung,Galaxy S25 Ultra 5G,12GB,1TB,4.1,500000,159999,165999,0.04
iQOO,Neo 10R 5G,8GB,256GB,4.4,5000,28998,33999,0.15
Nothing,Phone 2a 5G,8GB,128GB,4.3,1000,19075,25999,0.27
iQOO,Z9s 5G,8GB,128GB,4.3,5000,19999,25999,0.23
Samsung,Galaxy M35 5G,8GB,256GB,4.1,3000,21499,27499,0.22
OnePlus,Nord CE4 Lite 5G,8GB,128GB,4.1,1000,17998,20999,0.14
Nothing,Phone (3A) 5G,8GB,128GB,4,500,23945,27999,0.14
OnePlus,Nord CE4 Lite 5G,8GB,256GB,4.1,2000,20998,23999,0.13
realme,13+ 5G,8GB,256GB,4.1,200,19117,27999,0.32
Samsung,Galaxy M16 5G,8GB,128GB,3.7,500,14499,18999,0.24
Xiaomi,Xiaomi 15,12GB,512GB,,300,64999,79999,0.19
iQOO ,iqoo Z7 pro,8GB  , 256GB   ,4.4,1000,18499,26999,0.31
realme ,realme NARZO 70 turbo,12GB  , 256GB   ,4.2,200,20999,23999,0.13
realme,realme NARZO turbo 5g,8GB  ,128GB   ,4.2,1000,17999,20999,0.14
Samsung ,Galaxy M35 5G,8GB  ,128GB  ,4.1,4000,18499,25999,0.29
Motorola ,Motorola G64 g,12GB  , 256GB   ,4,500,16600,19999,0.17
Motorola,Motorola G85 g,8GB  ,128GB  ,3.9,200,17208,20999,0.18
Xiaomi ,Xiaomi 15,12GB  , 512GB  ,,300,64999,79999,0.19
OnePlus ,Oneplus Nord lite,8GB  , 128GB  ,4.1,5000,17998,20999,0.14
Samsung ,Galaxy m15 ,6GB ,128GB  ,3.9,50,14499,16999,0.15
